Hum Saath Saath Hain,Salman Khan:Tabu:Saif Ali Khan:Karisma Kapoor,Drama,Easy,Hindi,c9515ad7-d912-4a2b-90d4-2dec8a33c3ac
Jaanam Samjha Karo,Salman Khan:Urmila Matondkar:Monica Bedi,Romance: Drama,Easy,Hindi,aca02adb-3c13-41b4-ae5e-809915c3ab74
Kachche Dhaage,Ajay Devgan:Manisha Koirala:Saif Ali Khan:Namrata Shirodkar,Romance: Drama,Difficult,Hindi,d778da58-0b30-42f9-a486-9629c6e903c2
Mann,Aamir Khan:Manisha Koirala,Romance: Drama,Easy,Hindi,86d10c28-3f4e-4561-92d9-10c808dd39af
Mast,Aftab Shivdasani:Urmila Matondkar,Romance: Drama,Easy,Hindi,d47de179-b57a-408a-8005-f90a88c1c339
Pyaar Mein Kabhi Kabhi,Sanjay Suri:Dino Morea:Rinke Khanna,Romance,Easy,Hindi,060b1861-9b06-410d-8bb8-92e35fbf3a3c
Sirf Tum,Sanjay Kapoor:Sushmita Sen,Romance,Difficult,Hindi,f48eb157-f442-4b31-acca-6003ad413e69
Sooryavansham,Amitabh Bachchan:soundarya,Drama,Easy,Hindi,d70817b6-8001-4c1c-ae2f-9ca8930a50ff
Taal,Akshaye Khanna:Anil Kapoor:Aishwarya Rai,Musical:Romance,Easy,Hindi,118e0b22-0cf1-405e-bef6-7d9a70e27690
No Entry,Anil Kapoor:Salman Khan:Fardeen Khan:Bipasha Basu,Comedy,Easy,Hindi,47403cde-6311-44ee-bcca-bfedbdd9f6e6
Page 3,Konkona Sen Sharma:Atul Kulkarni:Sandhya Mridul,Drama,Easy,Hindi,47fa21f6-f20a-4b4e-a7a9-bf5ce60b6691
Paheli,Shahrukh Khan:Rani Mukerji,Fantasy: Romance,Easy,Hindi,2d71a6cd-3770-479c-8817-c0983b2db7f3
Parineeta,Sanjay Dutt:Saif Ali Khan:Vidya Balan,Drama,Easy,Hindi,a5d2064b-82ee-4c0d-b620-d005e524b7af
Pyaar Mein Twist,Rishi Kapoor:Dimple Kapadia:Soha Ali Khan,Drama: Romance,Difficult,Hindi,7c790fa8-8c59-47e9-bf28-7045a3eed704
Salaam Namaste,Saif Ali Khan:Preity Zinta,Romance: Comedy,Easy,Hindi,ecd27e82-2bbb-45b3-b8d5-663af2d3d666
Sarkar,Amitabh Bachchan:Abhishek Bachchan:Katrina Kaif, Drama,Easy,Hindi,989c1de8-ba84-49bf-8abb-1a89dc060f04
Tango Charlie,Ajay Devgan:Bobby Deol:Sanjay Dutt:Sunil Shetty,Drama,Difficult,Hindi,14568aef-6d8f-4164-b48b-8ac98756c35f
Devdas,Shahrukh Khan:Madhuri Dixit:Aishwarya Rai,Romance:Drama,Easy,Hindi,5332c3fc-d54e-4c5d-ad5f-115e010f3cc9
Bunty Aur Babli,Amitabh Bachchan:Abhishek Bachchan:Rani Mukerji,Comedy,Easy,Hindi,f711cc64-47fa-49dd-bdda-90b4d044838f
Garam Masala,Akshay Kumar:John Abraham,Comedy,Easy,Hindi,ab0d93e4-bb85-48fb-8310-cd0e349f4e93
Maine Pyaar Kyun Kiya?,Salman Khan:Sushmita Sen:Katrina Kaif,Comedy,Easy,Hindi,7d4edb8c-fdc8-426e-a3a7-da659b9c4176
Mangal Pandey: The Rising,Aamir Khan:Rani Mukerji,Drama,Difficult,Hindi,13aa8dca-dd1e-47c7-8e6a-0fe1b1fd57a1
My Brother Nikhil,Juhi Chawla:Sanjay Suri,Drama,Easy,Hindi,23530092-4aa2-473c-a0e9-a70b6ac1ded4
Om Shanti Om,Shahrukh Khan:Deepika Padukone,Romance:Comedy,Easy,Hindi,eef4b3ed-2780-489e-bd51-cf8fd45cf11c
Partner,Salman Khan:Govinda:Katrina Kaif,Romance:Comedy,Easy,Hindi,81f3100d-aa14-45e6-8459-381846d72f54
Rock On,Farhan Aktar: Arjun Rampal,Drama,Easy,Hindi,cfe887dd-daf2-44be-b02a-18e8dedc534a
Rang De Basanti,Amir Khan: Soha Ali Khan: Siddharth: Sharman Joshi,Drama: Comedy,Easy,Hindi,6a9c0857-baa5-4893-be49-e40a5f64d950
Dil Chahta Hai,Aamir Khan: Saif Ali Khan: Akshay Khanna,Romance:Comedy,Easy,Hindi,b0b9293f-0a55-48fc-8914-50cfd5691dce
Black,Amitabh Bacchan:Rani Mukerji,Drama,Easy,Hindi,2e2550a4-a0c6-4328-9c68-67c19578ab07
Zubeidaa,Karisma Kapoor: Rekha:Manoj Bajpai,Drama,Difficult,Hindi,4f52cfef-d904-4e1a-82b5-4147254615d9
Veer zaara,Sharukh Khan: Rani Mukerji: Preity Zinta,Romance: Drama,Difficult,Hindi,1fbd381a-e637-495d-aaf0-05314a96b605
Mughal-e-Azam,Dilip Kumar:�Madhubala,Romance,Difficult,Hindi,4002a510-e415-4d75-8e23-fb5f00f99096
Raajneeti,�Ranbir Kapoor:�Katrina Kaif,Drama,Difficult,Hindi,77314efb-c588-4f47-94e1-d8b7b6af5d45
Humraaz,Bobby Deol:Akshaye Khanna:Amisha Patel,Thriller,Difficult,Hindi,189f2378-2e03-4752-a06b-f90fe361950e
Howrah Bridge,Madhubala: Ashok Kumar,Drama,Difficult,Hindi,d4ec36b2-b8e8-4f72-9656-305d5196c06c
Dhobi Ghat,Prateik Babbar:�Aamir Khan:�Monica Dogra,Drama,Easy,Hindi,b2d22751-16d4-48da-b1d7-6b9ea56ad107
Tere Bin Laden,Ali Zafar:�Barry John,Comedy,Difficult,Hindi,66cb90c8-114f-4239-b238-c7517b0f88d4
Action Replayy,Akshay Kumar:�Aishwarya Rai:�Neha Dhupia:�Randhir Kapoor,Comedy,Difficult,Hindi,0ca603d9-e6f7-4e27-bc92-89c87ff323fd
Guzaarish,Hrithik Roshan: Aishwarya Rai,Drama,Difficult,Hindi,6e66e5b8-0834-4e1a-ae2f-ab43fc7f017c
Anjana Anjani,Ranbir Kapoor:�Priyanka Chopra:�Zayed Khan,Romance,Difficult,Hindi,fe6febdb-c455-4c40-9b42-7d8b1577e396
Patiala House,Akshay Kumar: Rishi Kapoor:�Anushka Sharma,Romance:Drama,Difficult,Hindi,673130c9-9d91-45f3-b209-ef1961c28ca0
Peepli Live,Omkar Das Manikpuri:Raghubir Yadav:Shalini Vatsa,Drama,Difficult,Hindi,688817f1-950f-4dc4-affe-258929125f63
Kabul Express,John Abraham:�Arshad Warsi,Drama,Difficult,Hindi,cf15a13d-033b-411f-9163-e0ef4f38161f
Bewafaa,�Anil Kapoor:�Akshay Kumar:�Kareena Kapoor,Drama,Difficult,Hindi,5e331327-4cae-4709-a90e-575b456e19be
Amar Akbar Anthony,�Amitabh Bachchan:�Vinod Khanna:Rishi Kapoor�,Drama:Comedy,Easy,Hindi,2b75dccc-99cd-4b1c-817f-f79468c62352
Swades,Sharukh Khan,Drama,Difficult,Hindi,7f1833d9-d344-4f3f-9619-ac7fbf501afd
Andaz Apna Apna,Aamir Khan: Salman Khan: Karishma Kapoor: Raveena Tandon,Comedy,Easy,Hindi,dfa130ac-1deb-4371-af52-85b8a60baa01
Neal 'N' Nikki,Uday Chopra:�Tanisha Mukherjee,Romance: Comedy,Easy,Hindi,79b2baba-ce09-4d3c-b602-8c3de680382c
Corporate, Bipasha Basu: Kay Kay Menon,Drama,Difficult,Hindi,3d75ad92-9dec-4bea-863a-1a4aca6625a6
Vaastav,Sanjay dutt: Namrata Shirodkar,Drama,Difficult,Hindi,097f2f9b-e17a-4439-b026-9579a75cb53e
Mission Kashmir,Hrithik Roshan: Preity Zinta,Romance: Thriller,Difficult,Hindi,f7cf96d4-688d-4d66-8eb6-bb92a273d256
Refugee,Abhishek Bacchan : Kareena Kapoor,Drama: Romance,Difficult,Hindi,5c853117-3cc7-4482-89b9-c4aaff669dd1
Khakee,Amitabh Bacchan: Akshay Kumar,Drama,Difficult,Hindi,e360b11b-573b-4cbd-8cbb-668a6bdcabb4
Fashion,Priyanka Chopra: Kangna Ranaut,Drama,Difficult,Hindi,208b8307-b79e-4a13-857d-b38ce6353725
Baghban,Amitabh Bacchan: Hema Malini: Salman Khan,Drama,Difficult,Hindi,c39ee5db-783c-4b9f-9b5f-3bf67206cb50
